"","ID_label","Young_value","id_cell","sig_xx","sig_xy","sig_yy"
"1",0,0.002,0,0,0,0
"2",1,0.001,101,0.00249045819427481,-0.00476946553764414,0.0129308809138902
"3",2,0.001,102,0.000712788276539698,0.00101393578754094,0.0147085508316253
"4",3,0.001,103,0.00703523940850711,0.00703862218578954,0.00838609969965794
"5",4,0.001,104,0.0133298454791719,-0.00429223369339755,0.0020914936289932
"6",5,0.001,105,0.0144946739975419,-0.00199391370599748,0.000926665110623183
"7",6,0.001,106,0.0103569835857591,-0.00655709007118191,0.00506435552240595
"8",7,0.001,108,0.0125008633174695,0.00520119715691001,0.0029204757906955
"9",8,0.001,109,0.00653574146630577,-0.00697265746644663,0.00888559764185927
"10",9,0.001,111,0.0147813347567955,-6.40448825784002e-05,0.000640004351369543
"11",10,0.001,202,0.00271965759349101,-0.0050088130095935,0.012701681514674
"12",11,0.001,203,0.00232090505446354,0.00457699101970799,0.0131004340537015
"13",12,0.001,204,0.0101596677491832,0.00663331108845608,0.00526167135898187
"14",13,0.001,205,0.0142456499936724,-0.00270045159371869,0.0011756891144926
"15",14,0.001,207,0.010297802627729,-0.00658066490676171,0.00512353648043603
"16",15,0.001,208,0.0145768665890472,0.00168930353485774,0.000844472519117839
"17",16,0.001,302,0.00519376808119951,0.0066078449687958,0.0102275710269655
"18",17,0.001,303,0.0147090267518824,-0.00101064567868427,0.000712312356282636
"19",18,0.001,304,0.0129342979901292,-0.00476572283268392,0.00248704111803581
"20",19,0.001,305,0.00795595936623606,-0.0070666994462687,0.00746537974192899
"21",20,0.001,306,0.00692664768360315,-0.00702735496915096,0.0084946914245619
"22",21,0.001,307,0.0134442834289369,0.00413812519021812,0.00197705567922812
"23",22,0.001,308,0.000729111087461195,-0.00112082538023937,0.0146922280207039
"24",23,0.001,402,0.0104457750928932,0.00652055257224477,0.00497556401527185
"25",24,0.001,403,0.014631190704336,-0.00145079122024303,0.000790148403828996
"26",25,0.001,404,0.00884405975333212,-0.00697952969848869,0.00657727935483293
"27",26,0.001,405,0.0139923371602256,0.00324639188049953,0.00142900194793944
"28",27,0.001,406,0.00227001973734838,-0.0045163854715371,0.0131513193708167
"29",28,0.001,407,0.0129159693146683,-0.00478573532054231,0.00250536979349673
"30",29,0.001,408,0.00131015565281765,0.00300530031037762,0.0141111834553474
"31",30,0.001,409,0.00447301425217902,0.00628617501362289,0.010948324855986
"32",31,0.001,502,0.0129654567282287,0.00473134440833356,0.00245588237993632
"33",32,0.001,503,0.0147767546948956,-0.000262390812760605,0.000644584413269436
"34",33,0.001,504,0.00691578173079604,-0.00702613417920776,0.008505557377369
"35",34,0.001,505,0.000841843714692578,-0.00167858265926039,0.0145794953934725
"36",35,0.001,506,0.012601736556873,-0.0051064539291033,0.00281960255129201
"37",36,0.001,507,0.00464135329290514,0.00637006325280313,0.0107799858152599
"38",37,0.001,601,0.00915817981692847,-0.00692120814560553,0.00626315929123658
"39",38,0.001,602,0.0104417756080189,0.0065222287508177,0.00497956350014619
"40",39,0.001,603,0.0147374642734498,-0.000789027330143284,0.000683874834715262
"41",40,0.001,604,0.0142503288975968,-0.00268910093277037,0.0011710102105682
"42",41,0.001,605,0.000894263859496537,0.00188016530194991,0.0145270752486685
"43",42,0.001,607,0.014127070960518,0.00297122889514311,0.00129426814764703
"44",43,0.001,608,0.00464290812332292,0.00637081218996326,0.0107784309848421
"45",44,0.001,609,0.0138853292498002,0.00344557481386202,0.00153600985836484
"46",45,0.001,610,0.0131081420361843,-0.00456789874677566,0.00231319707198074
"47",46,0.001,611,0.0147597462355419,-0.000555811204228988,0.000661592872623157
"48",47,0.001,612,0.0114702578836224,-0.00598864790651683,0.00395108122454267
"49",48,0.001,701,0.0133448188383731,0.00427256012224153,0.00207652026979194
"50",49,0.001,702,0.014627992490594,-0.0014659643746874,0.000793346617571025
"51",50,0.001,703,0.0123391387468821,-0.00534562260986932,0.00308220036128297
"52",51,0.001,704,0.00083080850951001,-0.00163276457678818,0.014590530598655
"53",52,0.001,705,0.00354616591983334,0.00571448314689667,0.0118751731883317
"54",53,0.001,801,0.0145098092084585,0.00194167662501577,0.000911529899706535
"55",54,0.001,802,0.000730903337978721,0.00113193273845078,0.0146904357701863
"56",55,0.001,803,0.0140163622134003,-0.00319947624496053,0.00140497689476476
"57",56,0.001,805,0.00754230657763868,0.00706895056313196,0.00787903253052637
"58",57,0.001,901,0.000731804570491199,-0.00113747602024989,0.0146895345376739
"59",58,0.001,902,0.00182709665080096,0.00392198649253304,0.0135942424573641
"60",59,0.001,903,0.0126940895782418,0.0050163665155817,0.00272724952992327
"61",60,0.001,905,0.0147323537400694,-0.000833282273964341,0.000688985368095696
"62",61,0.001,906,0.00663533763752663,0.00698871014029605,0.00878600147063842
"63",62,0.001,908,0.0134748828939782,-0.00409539408702134,0.00194645621418685
"64",63,0.001,950,0.0114939311836978,0.00597372074989463,0.00392740792446727
"65",64,0.001,951,0.0125099104331175,0.00519285038691089,0.00291142867504758
"66",65,0.001,952,0.0137921361631049,0.0036075160483616,0.00162920294506014
"67",66,0.001,953,0.0145035088021758,0.00196360462043769,0.000917830305989247
"68",67,0.001,1001,0.000664383576578703,0.000590137339162425,0.0147569555315863
"69",68,0.001,1003,0.00815495673659025,0.00705698356631925,0.0072663823715748
"70",69,0.001,1004,0.0147632122366016,0.000509950847716852,0.000658126871563435
"71",70,0.001,1005,0.0132105600253419,-0.00444405366304128,0.00221077908282311
