"time","basal_slope","apical_slope","raw_angle","correction","final_angle"
0,0.379864950563672,-5.89158239659766,-101.166814677502,180,78.8331853224983
2,0.380203817977727,-5.8876036296006,-101.177392209823,180,78.8226077901775
4,0.380572699397639,-5.88328229744643,-101.18890855424,180,78.8110914457605
6,0.380969485035688,-5.87896590670591,-101.201814577481,180,78.7981854225191
8,0.381393850248498,-5.87388864075431,-101.214857190022,180,78.7851428099778
10,0.381846756137792,-5.86859835927933,-101.228962855089,180,78.7710371449107
12,0.3823298071069,-5.86278077868509,-101.243699582716,180,78.7563004172839
14,0.382838697460694,-5.85647918247748,-101.258916019914,180,78.7410839800859
16,0.3833771830998,-5.84965167201175,-101.274725315465,180,78.7252746845352
18,0.38394313322422,-5.84231157768806,-101.291035308317,180,78.7089646916826
20,0.384534588865593,-5.83412853805411,-101.307200226206,180,78.6927997737943
22,0.385154113143029,-5.82544845335019,-101.32390235492,180,78.6760976450797
24,0.385802520004777,-5.81631112805094,-101.341238771531,180,78.6587612284685
26,0.386477681299755,-5.8061140590033,-101.358099992431,180,78.6419000075694
28,0.387171301261224,-5.79441470747534,-101.373319396592,180,78.6266806034078
30,0.387891230608142,-5.78466744099026,-101.393003440859,180,78.6069965591408
32,0.388637579058281,-5.77278574681339,-101.410370604898,180,78.5896293951018
34,0.389407869641856,-5.76082062046309,-101.428691122544,180,78.5713088774558
36,0.390207519516353,-5.74619445859431,-101.443890895861,180,78.5561091041394
38,0.391020164090573,-5.73439641493224,-101.464377782368,180,78.5356222176323
40,0.391866776556698,-5.71998932796366,-101.482018441884,180,78.5179815581163
42,0.392731552690587,-5.70717234910748,-101.5031314014,180,78.4968685986
44,0.39361880693501,-5.69071576198437,-101.518996300389,180,78.4810036996112
46,0.394537456729854,-5.67539073137254,-101.538185277411,180,78.4618147225892
48,0.395467705398725,-5.66199972040082,-101.561134997052,180,78.4388650029481
50,0.396429147765405,-5.64331273275587,-101.576263977968,180,78.4237360220315
52,0.397410399594232,-5.62509258704251,-101.592952004134,180,78.4070479958661
54,0.398417479580741,-5.60878615444133,-101.614062827904,180,78.3859371720959
56,0.399444622057131,-5.59110668601718,-101.633530301411,180,78.3664696985892
58,0.400494993905597,-5.57185337262169,-101.651103239044,180,78.3488967609556
60,0.401570478449843,-5.55262162027114,-101.669685958636,180,78.3303140413641
62,0.402671066816881,-5.53241707515965,-101.687471521706,180,78.3125284782943
64,0.403792486074571,-5.51242667053983,-101.706373779807,180,78.2936262201925
66,0.40493685098976,-5.49061041918022,-101.722748634724,180,78.2772513652758
68,0.406100575909905,-5.47087475790912,-101.743577687003,180,78.2564223129965
70,0.407296955524481,-5.45054781692426,-101.764606748281,180,78.2353932517195
72,0.408509672918414,-5.42857612754444,-101.783023276372,180,78.2169767236279
74,0.409749291696863,-5.40683879220628,-101.802829673739,180,78.1971703262605
76,0.41100645655845,-5.3836118529664,-101.820277175425,180,78.179722824575
78,0.412290247144694,-5.35959688315077,-101.837085172173,180,78.1629148278271
80,0.413597911923213,-5.33624588716191,-101.855894315957,180,78.1441056840435
82,0.414937546731985,-5.31123623551328,-101.872570714831,180,78.1274292851694
84,0.416286116393462,-5.28809023535635,-101.892863017292,180,78.1071369827083
86,0.4176765094757,-5.26309250329258,-101.911050234301,180,78.0889497656987
88,0.41908350888861,-5.23854344590913,-101.930426067432,180,78.0695739325677
90,0.420499228773291,-5.21105622111292,-101.943734545006,180,78.0562654549938
92,0.421957766628422,-5.18658245594605,-101.964678463606,180,78.0353215363942
94,0.423438503654177,-5.16113512857156,-101.98415153792,180,78.0158484620797
96,0.424932664915364,-5.13456129462222,-102.001339961934,180,77.998660038066
98,0.426442862078937,-5.10718779177118,-102.016981422096,180,77.9830185779036
100,0.428005872704325,-5.08113015353915,-102.037314778414,180,77.9626852215856
102,0.42957191944017,-5.05303786291593,-102.052767752209,180,77.9472322477908
104,0.431167809972183,-5.02683324252273,-102.073046181619,180,77.9269538183807
106,0.432799995807038,-4.99790407813949,-102.088407692518,180,77.9115923074821
108,0.434428796588621,-4.97104534490081,-102.10741778243,180,77.8925822175701
110,0.43611966263036,-4.94039749319786,-102.120162199822,180,77.8798378001777
112,0.437806182449278,-4.91409205465258,-102.141674811414,180,77.8583251885855
114,0.43954604215716,-4.88463979740624,-102.157783955171,180,77.8422160448287
116,0.441283389011624,-4.85604880448147,-102.174887663262,180,77.8251123367385
118,0.443062277029117,-4.82673055338987,-102.191406499148,180,77.8085935008522
120,0.444874904811368,-4.79722697107718,-102.208179332651,180,77.791820667349
122,0.446709917442876,-4.76806788457457,-102.225906481977,180,77.7740935180228
124,0.448563671307651,-4.73833140270931,-102.24217258333,180,77.7578274166702
126,0.450412679764816,-4.70599314116202,-102.250780263532,180,77.7492197364678
128,0.452346234811083,-4.67880704657334,-102.275144029477,180,77.7248559705234
130,0.454266728984159,-4.64780832443047,-102.288340355199,180,77.7116596448009
132,0.456192194042412,-4.61717454021959,-102.301575586202,180,77.6984244137977
134,0.458179115220429,-4.58629557615575,-102.315953981358,180,77.6840460186423
136,0.460182247349841,-4.55543396778966,-102.329970801797,180,77.670029198203
138,0.462245110468207,-4.52615448110598,-102.349832928461,180,77.6501670715391
140,0.464282699674946,-4.49510547862884,-102.362608351105,180,77.6373916488947
142,0.466402437195443,-4.46384013135911,-102.377403582026,180,77.6225964179743
144,0.4684696156104,-4.43176362477704,-102.386174180315,180,77.6138258196846
146,0.47061175880821,-4.40235796719881,-102.404593265547,180,77.5954067344534
148,0.472834364951324,-4.37179719929296,-102.422274414516,180,77.5777255854844
150,0.475016644795047,-4.34075497364839,-102.43534484661,180,77.5646551533901
152,0.477270736695283,-4.30971296724655,-102.450377132382,180,77.5496228676185
154,0.479488823036279,-4.27823757996805,-102.4610193832,180,77.5389806167998
156,0.481808341415652,-4.2470258133535,-102.475689755202,180,77.5243102447981
158,0.484125783319292,-4.21523460251773,-102.486991142782,180,77.513008857218
160,0.486443590416555,-4.18511642978914,-102.501907129742,180,77.4980928702579
162,0.488813167790134,-4.1541773635898,-102.515176758042,180,77.4848232419581
164,0.491184710804512,-4.12252502832411,-102.524694469254,180,77.475305530746
166,0.493632871583681,-4.09127735742724,-102.537382162981,180,77.4626178370185
168,0.496085238617287,-4.05984985921362,-102.547999842987,180,77.4520001570131
170,0.498548169210296,-4.02919020478653,-102.559931769745,180,77.4400682302549
172,0.501127559080314,-3.99892525471581,-102.576844723126,180,77.4231552768744
174,0.503658073103868,-3.96664051650591,-102.582913813469,180,77.4170861865309
176,0.506262894925055,-3.936807849074,-102.59896539169,180,77.4010346083101
178,0.508845585862405,-3.90548272007779,-102.607025816985,180,77.3929741830149
180,0.511495125710047,-3.87517949249911,-102.619870669912,180,77.3801293300876
182,0.514154824344956,-3.84450110478078,-102.629965769378,180,77.370034230622
184,0.516876654105726,-3.81455635379489,-102.643647883412,180,77.3563521165881
186,0.519583347577762,-3.78391258595784,-102.652138788563,180,77.3478612114371
188,0.522336123733334,-3.75280545149316,-102.658938340123,180,77.3410616598765
190,0.52513743904229,-3.72275836424305,-102.669897378717,180,77.3301026212828
192,0.527971323565691,-3.69258369520099,-102.679781639548,180,77.3202183604515
194,0.530866052609459,-3.66209800655376,-102.689053192103,180,77.3109468078968
196,0.53379579731908,-3.62959253365359,-102.68953739391,180,77.3104626060898
198,0.536668398888878,-3.60000818931058,-102.696972226258,180,77.3030277737421
200,0.53965073992429,-3.5701074542355,-102.705799391225,180,77.2942006087754
202,0.542605598125396,-3.54048591184317,-102.712326201829,180,77.2876737981709
204,0.54565384500744,-3.51613957542189,-102.743358276533,180,77.2566417234671
206,0.548727759225045,-3.48934747344904,-102.763209341395,180,77.2367906586053
208,0.55182675497211,-3.4566387850496,-102.756018304142,180,77.2439816958578
210,0.554964650735474,-3.41710864612543,-102.716871714137,180,77.2831282858627
212,0.558109110187946,-3.39004162756292,-102.731193331774,180,77.2688066682263
214,0.56133309060836,-3.36483911711238,-102.755462251611,180,77.2445377483892
216,0.564582366411359,-3.33418084432536,-102.753070895698,180,77.2469291043023
218,0.567869109541335,-3.31306383305112,-102.795230623769,180,77.2047693762313
220,0.571163632260916,-3.27882289851188,-102.772386023799,180,77.227613976201
222,0.574497358538664,-3.25181806690831,-102.783529264369,180,77.2164707356307
224,0.577889136209936,-3.22702560541428,-102.805836669386,180,77.1941633306143
226,0.581337501233087,-3.19257753322477,-102.779102159585,180,77.2208978404152
228,0.584796447097488,-3.17278160494312,-102.82509087999,180,77.1749091200103
230,0.588265677134887,-3.13929500469411,-102.797931660134,180,77.2020683398658
232,0.591834968447443,-3.11648734131498,-102.828441361349,180,77.1715586386507
234,0.595427755380705,-3.08513904532116,-102.811444519381,180,77.1885554806192
236,0.599041174631727,-3.06283119920927,-102.841727643368,180,77.1582723566322
238,0.602718725688427,-3.03171495159393,-102.823208295294,180,77.1767917047061
240,0.606392570417468,-3.00671406179521,-102.835753945667,180,77.1642460543334
