"time","basal_slope","apical_slope","raw_angle","correction","final_angle"
0,0.379864950563672,-5.89158239659766,-101.166814677502,180,78.8331853224983
2,0.378598076907012,-5.97703474448357,-101.238551743246,180,78.7614482567541
4,0.377300418769806,-6.06899545513676,-101.31484953048,180,78.6851504695197
6,0.375971600173696,-6.16772629587897,-101.395363777412,180,78.604636222588
8,0.374615321304633,-6.27322063483538,-101.479532055335,180,78.5204679446652
10,0.373235352542289,-6.38542933251139,-101.566752707785,180,78.4332472922149
12,0.371834508762113,-6.50450528598524,-101.656673396183,180,78.3433266038175
14,0.370415449602784,-6.63057864305595,-101.748901001659,180,78.2510989983412
16,0.368980382840783,-6.76427488290007,-101.843631669941,180,78.156368330059
18,0.367531853848712,-6.90440363673193,-101.938854422739,180,78.0611455772605
20,0.366071435502823,-7.05296774277562,-102.036382553146,180,77.9636174468537
22,0.364599461229224,-7.20968654073156,-102.135155139486,180,77.8648448605135
24,0.363117876610234,-7.37505125738028,-102.2350916999,180,77.7649083001
26,0.361628666401214,-7.5495664678822,-102.336085645868,180,77.6639143541324
28,0.360131810450988,-7.73348055707901,-102.437649441772,180,77.5623505582275
30,0.3586277140091,-7.92735505812223,-102.539611983009,180,77.4603880169909
32,0.357120810701365,-8.13213194990082,-102.642294304488,180,77.3577056955122
34,0.355605512304429,-8.34865824078371,-102.745335359194,180,77.2546646408061
36,0.354088835140332,-8.5787739837257,-102.849707655969,180,77.1502923440305
38,0.352565987777863,-8.821917625889,-102.953813591907,180,77.0461864080926
40,0.351042582804862,-9.08030237888356,-103.058673102787,180,76.9413268972131
42,0.349514688406991,-9.3531042302844,-103.162596640833,180,76.8374033591675
44,0.347983636545925,-9.64517707669455,-103.267853568334,180,76.7321464316655
46,0.346450880950348,-9.95612789523967,-103.373098706779,180,76.6269012932215
48,0.344916333259062,-10.2876352336059,-103.478209740859,180,76.5217902591413
50,0.343380956266251,-10.6411969888242,-103.582926129295,180,76.4170738707048
52,0.34184490694136,-11.0209052850926,-103.688102462652,180,76.3118975373483
54,0.340308363524765,-11.4289252245554,-103.793378305845,180,76.2066216941546
56,0.338768821797452,-11.8666673888491,-103.897862781241,180,76.1021372187588
58,0.337230634239068,-12.3377273052053,-104.001862570656,180,75.9981374293438
60,0.335691819407734,-12.8468728378107,-104.105554931075,180,75.894445068925
62,0.334152789933806,-13.3989756724213,-104.208976326544,180,75.791023673456
64,0.332614376098347,-14.0006843929454,-104.312449196547,180,75.6875508034533
66,0.331075735246249,-14.6545515932829,-104.414745969783,180,75.5852540302172
68,0.329536409543654,-15.3703116283473,-104.516488194998,180,75.4835118050016
70,0.32799821322734,-16.1534702097579,-104.616954611656,180,75.3830453883441
72,0.326459711247783,-17.0119606628292,-104.715675149468,180,75.2843248505319
74,0.324924480928876,-17.9601048363593,-104.813368963184,180,75.1866310368156
76,0.323386948406353,-19.0077247328934,-104.908964970569,180,75.0910350294306
78,0.321852786628377,-20.1670950496612,-105.002188263858,180,74.9978117361425
80,0.320317394409142,-21.448195855102,-105.091742800111,180,74.908257199889
82,0.318784629317541,-22.8725185736058,-105.178071078481,180,74.8219289215189
84,0.317252802976323,-24.4394868946072,-105.258689368255,180,74.7413106317455
86,0.315722516797193,-26.1548864139899,-105.332512493505,180,74.6674875064947
88,0.314190545542594,-27.9830875325784,-105.395582057324,180,74.6044179426758
90,0.312661092716294,-29.87832098682,-105.445511376221,180,74.5544886237786
92,0.311133291847711,-31.6744270491873,-105.474360608191,180,74.5256393918092
94,0.309608841495974,-33.0323559877786,-105.468981672349,180,74.5310183276507
96,0.308081938253943,-33.3433991927746,-105.405280614601,180,74.5947193853986
98,0.306559300567733,-31.5047525390128,-105.225379119537,180,74.7746208804629
100,0.305035183616472,-26.0138874644704,-104.762126708454,180,75.2378732915456
102,0.303514674182365,-15.6418111199853,-103.225803091825,180,76.7741969081749
104,0.301995532003447,-1.1433234056094,-65.6297380378329,180,114.370261962167
106,0.300476743622194,13.8354868319295,69.1416690156679,0,69.1416690156679
108,0.298959914904088,25.1758688454729,71.0808178135399,0,71.0808178135399
110,0.297444536843328,31.5673081905341,71.6207492678422,0,71.6207492678422
112,0.295930667023001,33.9010839239839,71.8253018154614,0,71.8253018154614
114,0.294418983535236,33.7914091923913,71.8994926324158,0,71.8994926324158
116,0.292906927860394,32.4545404722511,71.9094685848805,0,71.9094685848805
118,0.291398836198885,30.6188971178616,71.8833481753657,0,71.8833481753657
120,0.289889861232105,28.6422825275552,71.8340827620706,0,71.8340827620706
122,0.288382980705317,26.7069047919811,71.7689862276888,0,71.7689862276888
124,0.286877967588024,24.9110955921103,71.6942048367577,0,71.6942048367577
126,0.285374282846206,23.2607020369686,71.6109312511521,0,71.6109312511521
128,0.283871442246401,21.7717543608846,71.522461626734,0,71.522461626734
130,0.282370400899747,20.4259776144323,71.4290841325124,0,71.4290841325124
132,0.280871283744706,19.2136229866834,71.332121312313,0,71.332121312313
134,0.279373933511314,18.1197581513136,71.2321655788758,0,71.2321655788758
136,0.277880180771563,17.1302821740811,71.1295264851156,0,71.1295264851156
138,0.276384626407051,16.2377958100943,71.0259259979224,0,71.0259259979224
140,0.274890198627967,15.4161184511212,70.9181823354315,0,70.9181823354315
142,0.273399575266567,14.6773708946854,70.8113762196299,0,70.8113762196299
144,0.271910821432383,14.0094864497929,70.7055713815096,0,70.7055713815096
146,0.270427987865238,13.3762562458866,70.5921305922777,0,70.5921305922777
148,0.268938455248842,12.8137913918731,70.484758866038,0,70.484758866038
