"Displacement Vector:0","Displacement Vector:1","Displacement Vector:2","Elastic Strain:0","Elastic Strain:1","Elastic Strain:2","Elastic Strain:3","Elastic Strain:4","Elastic Strain:5","Elastic Strain:6","Elastic Strain:7","Elastic Strain:8","Elastic Stress:0","Elastic Stress:1","Elastic Stress:2","Elastic Stress:3","Elastic Stress:4","Elastic Stress:5","Elastic Stress:6","Elastic Stress:7","Elastic Stress:8","Points:0","Points:1","Points:2","Total Strain:0","Total Strain:1","Total Strain:2","Total Strain:3","Total Strain:4","Total Strain:5","Total Strain:6","Total Strain:7","Total Strain:8","Total Stress:0","Total Stress:1","Total Stress:2","Total Stress:3","Total Stress:4","Total Stress:5","Total Stress:6","Total Stress:7","Total Stress:8","vtkOriginalPointIds"
5.1666,23.897,0,-0.022281,0.0074631,0,0.0074631,0.02998,0,0,0,0,-0.24679,0.064671,0,0.087773,0.52437,0,0,0,0.073319,-107.16,122.24,0,-0.0010601,0.11697,0,0.11697,0.60468,0,0,0,0,5.5914,1.2421,0,3.4918,21.675,0,0,0,5.7487,1306
40.205,135.3,0,-0.0017317,-0.0056585,0,-0.0056585,0.0069539,0,0,0,0,0.050469,-0.12594,0,-0.068895,0.116,0,0,0,0.049736,155.71,137.46,0,0.030331,-0.062798,0,-0.062798,0.10933,0,0,0,0,2.1196,-2.0847,0,-0.42877,2.7114,0,0,0,1.3301,2299
42.81,136.72,0,0.0085236,-0.003642,0,-0.003642,0.00048571,0,0,0,0,0.21585,-0.077369,0,0.0098397,0.073804,0,0,0,0.085803,161.41,130.9,0,0.118,-0.050188,0,-0.050188,0.020349,0,0,0,0,3.4782,-1.3173,0,0.13616,1.3504,0,0,0,1.3176,2592
5.2889,18.507,0,-0.013991,0.014635,0,0.014635,0.025772,0,0,0,0,-0.10461,0.16163,0,0.20351,0.51468,0,0,0,0.1122,-110.82,112.31,0,0.044109,0.18724,0,0.18724,0.53882,0,0,0,0,6.2676,2.7825,0,5.4362,19.781,0,0,0,5.5517,4475
5.3137,19.836,0,-0.0076859,0.011976,0,0.011976,0.027099,0,0,0,0,0.05803,0.11521,0,0.18345,0.60428,0,0,0,0.18488,-109.9,114.79,0,0.047296,0.18138,0,0.18138,0.54958,0,0,0,0,6.455,2.61,0,5.3535,20.263,0,0,0,5.6845,4476
5.2993,21.176,0,-0.010778,0.0109,0,0.0109,0.028143,0,0,0,0,-0.0034175,0.099758,0,0.16064,0.59809,0,0,0,0.16538,-108.99,117.27,0,0.035925,0.16961,0,0.16961,0.56986,0,0,0,0,6.2997,2.2809,0,5.0507,20.928,0,0,0,5.7694,4477
5.2511,22.53,0,-0.01839,0.011544,0,0.011544,0.027667,0,0,0,0,-0.18559,0.11508,0,0.14906,0.51325,0,0,0,0.088345,-108.08,119.75,0,0.02415,0.16213,0,0.16213,0.56512,0,0,0,0,5.8948,2.0595,0,4.7779,20.516,0,0,0,5.6121,4478
45.153,138.41,0,0.0089143,-0.0046721,0,-0.0046721,-0.0034976,0,0,0,0,0.19235,-0.065304,0,-0.015336,-0.016559,0,0,0,0.051588,167.05,125.25,0,0.11909,-0.058394,0,-0.058394,0.023769,0,0,0,0,3.5962,-1.4686,0,-0.039211,1.4367,0,0,0,1.3606,4882
43.539,137.38,0,0.0085236,-0.003642,0,-0.003642,0.00048571,0,0,0,0,0.21585,-0.077369,0,0.0098397,0.073804,0,0,0,0.085803,163.6,129.25,0,0.118,-0.050188,0,-0.050188,0.020349,0,0,0,0,3.4782,-1.3173,0,0.13616,1.3504,0,0,0,1.3176,5083
41.356,136.03,0,-0.0032688,-0.0055832,0,-0.0055832,0.0071324,0,0,0,0,0.017045,-0.12127,0,-0.079004,0.10662,0,0,0,0.036796,158.63,134.55,0,0.020179,-0.055737,0,-0.055737,0.11458,0,0,0,0,1.8663,-1.972,0,-0.38099,2.7879,0,0,0,1.2835,5084
