"Displacement Vector:0","Displacement Vector:1","Displacement Vector:2","Elastic Strain:0","Elastic Strain:1","Elastic Strain:2","Elastic Strain:3","Elastic Strain:4","Elastic Strain:5","Elastic Strain:6","Elastic Strain:7","Elastic Strain:8","Elastic Stress:0","Elastic Stress:1","Elastic Stress:2","Elastic Stress:3","Elastic Stress:4","Elastic Stress:5","Elastic Stress:6","Elastic Stress:7","Elastic Stress:8","Points:0","Points:1","Points:2","Total Strain:0","Total Strain:1","Total Strain:2","Total Strain:3","Total Strain:4","Total Strain:5","Total Strain:6","Total Strain:7","Total Strain:8","Total Stress:0","Total Stress:1","Total Stress:2","Total Stress:3","Total Stress:4","Total Stress:5","Total Stress:6","Total Stress:7","Total Stress:8","vtkOriginalPointIds"
1.4003,2.6877,0,-0.0048688,0.0052642,0,0.0052642,0.011783,0,0,0,0,-0.0018038,0.08069,0,0.076113,0.23578,0,0,0,0.06585,-107.16,122.24,0,-0.00032764,0.021378,0,0.021378,0.068969,0,0,0,0,0.66152,0.3734,0,0.32628,1.7474,0,0,0,0.65372,1306
12.189,-23.135,0,-0.00089774,-0.006672,0,-0.006672,0.0066839,0,0,0,0,0.026816,-0.07045,0,-0.10188,0.16574,0,0,0,0.055106,155.71,137.46,0,0.012742,-0.028949,0,-0.028949,0.043096,0,0,0,0,0.65199,-0.25064,0,-0.56335,1.264,0,0,0,0.53179,2299
11.241,-24.392,0,0.0091054,-0.0058557,0,-0.0058557,-0.0040597,0,0,0,0,0.16267,-0.084697,0,-0.11462,0.0055108,0,0,0,0.048054,161.41,130.9,0,0.050064,-0.023263,0,-0.023263,0.0033745,0,0,0,0,1.208,-0.25632,0,-0.58173,0.62092,0,0,0,0.50894,2592
1.016,2.0268,0,-0.0034432,0.0060737,0,0.0060737,0.010621,0,0,0,0,0.020468,0.089922,0,0.087606,0.22209,0,0,0,0.068361,-110.82,112.31,0,0.003763,0.025469,0,0.025469,0.062826,0,0,0,0,0.7031,0.41848,0,0.39621,1.6297,0,0,0,0.63418,4475
1.1057,2.1904,0,-0.0041044,0.0062783,0,0.0062783,0.01076,0,0,0,0,0.0062487,0.092985,0,0.090617,0.21902,0,0,0,0.063388,-109.9,114.79,0,0.0030065,0.025762,0,0.025762,0.064147,0,0,0,0,0.69778,0.42529,0,0.40054,1.6571,0,0,0,0.63956,4476
1.1991,2.3557,0,-0.004619,0.0063129,0,0.0063129,0.011027,0,0,0,0,-0.0032403,0.093858,0,0.091187,0.22039,0,0,0,0.061033,-108.99,117.27,0,0.0023098,0.025859,0,0.025859,0.066169,0,0,0,0,0.70078,0.43113,0,0.40156,1.7035,0,0,0,0.65218,4477
1.2975,2.5231,0,-0.0040433,0.0060869,0,0.0060869,0.010946,0,0,0,0,0.0096005,0.090831,0,0.087833,0.2239,0,0,0,0.065739,-108.08,119.75,0,0.0030099,0.025745,0,0.025745,0.065737,0,0,0,0,0.71396,0.43034,0,0.39936,1.6987,0,0,0,0.65473,4478
10.507,-25.558,0,0.0086709,-0.006455,0,-0.006455,-0.0037398,0,0,0,0,0.15271,-0.092442,0,-0.12336,0.011463,0,0,0,0.046963,167.05,125.25,0,0.049463,-0.028078,0,-0.028078,0.007873,0,0,0,0,1.2197,-0.30594,0,-0.67573,0.74388,0,0,0,0.54605,4882
11.05,-24.83,0,0.0091054,-0.0058557,0,-0.0058557,-0.0040597,0,0,0,0,0.16267,-0.084697,0,-0.11462,0.0055108,0,0,0,0.048054,163.6,129.25,0,0.050064,-0.023263,0,-0.023263,0.0033745,0,0,0,0,1.208,-0.25632,0,-0.58173,0.62092,0,0,0,0.50894,5083
11.757,-23.778,0,-0.0012786,-0.0057544,0,-0.0057544,0.0074025,0,0,0,0,0.026858,-0.055829,0,-0.088389,0.17678,0,0,0,0.058323,158.63,134.55,0,0.0081667,-0.024642,0,-0.024642,0.045173,0,0,0,0,0.56963,-0.18628,0,-0.47843,1.2576,0,0,0,0.508,5084
