"Displacement Vector:0","Displacement Vector:1","Displacement Vector:2","Elastic Strain:0","Elastic Strain:1","Elastic Strain:2","Elastic Strain:3","Elastic Strain:4","Elastic Strain:5","Elastic Strain:6","Elastic Strain:7","Elastic Strain:8","Elastic Stress:0","Elastic Stress:1","Elastic Stress:2","Elastic Stress:3","Elastic Stress:4","Elastic Stress:5","Elastic Stress:6","Elastic Stress:7","Elastic Stress:8","Points:0","Points:1","Points:2","Total Strain:0","Total Strain:1","Total Strain:2","Total Strain:3","Total Strain:4","Total Strain:5","Total Strain:6","Total Strain:7","Total Strain:8","Total Stress:0","Total Stress:1","Total Stress:2","Total Stress:3","Total Stress:4","Total Stress:5","Total Stress:6","Total Stress:7","Total Stress:8","vtkOriginalPointIds"
1.3639,12.888,0,-0.020003,0.0053892,0,0.0053892,0.02198,0,0,0,0,-0.26588,0.053198,0,0.058753,0.34504,0,0,0,0.018827,-107.16,122.24,0,-0.010394,0.056703,0,0.056703,0.30305,0,0,0,0,2.5612,0.5236,0,1.3406,9.1113,0,0,0,2.7872,1306
27.602,79.257,0,-0.0009426,-0.0043959,0,-0.0043959,0.0066017,0,0,0,0,0.050955,-0.088128,0,-0.055458,0.13634,0,0,0,0.053896,155.71,137.46,0,0.020269,-0.043477,0,-0.043477,0.079193,0,0,0,0,1.3909,-1.0973,0,-0.48751,2.104,0,0,0,0.94726,2299
29.139,79.626,0,0.00641,-0.0043247,0,-0.0043247,0.0021183,0,0,0,0,0.18122,-0.077733,0,-0.037626,0.1021,0,0,0,0.081222,161.41,130.9,0,0.074946,-0.044635,0,-0.044635,0.025843,0,0,0,0,2.2848,-0.92721,0,-0.42373,1.2716,0,0,0,0.95989,2592
1.6772,9.8647,0,-0.014557,0.008129,0,0.008129,0.020328,0,0,0,0,-0.15786,0.091504,0,0.10614,0.36075,0,0,0,0.054956,-110.82,112.31,0,0.0058314,0.080109,0,0.080109,0.27771,0,0,0,0,2.7506,1.0177,0,1.8253,8.4786,0,0,0,2.7004,4475
1.6279,10.608,0,-0.011344,0.0070354,0,0.0070354,0.020752,0,0,0,0,-0.0782,0.072855,0,0.096589,0.40112,0,0,0,0.089609,-109.9,114.79,0,0.0080945,0.077478,0,0.077478,0.27995,0,0,0,0,2.8283,0.95293,0,1.7883,8.577,0,0,0,2.7433,4476
1.5596,11.359,0,-0.012936,0.0066,0,0.0066,0.021148,0,0,0,0,-0.11143,0.066205,0,0.087468,0.39495,0,0,0,0.078211,-108.99,117.27,0,0.0047609,0.074399,0,0.074399,0.28646,0,0,0,0,2.7977,0.86851,0,1.7319,8.758,0,0,0,2.7735,4477
1.4749,12.117,0,-0.016773,0.0068597,0,0.0068597,0.020985,0,0,0,0,-0.2024,0.071865,0,0.083471,0.35414,0,0,0,0.040118,-108.08,119.75,0,0.00012757,0.072999,0,0.072999,0.28656,0,0,0,0,2.6736,0.82452,0,1.6915,8.7031,0,0,0,2.7304,4478
30.433,80.183,0,0.011504,-0.0011792,0,-0.0011792,-0.007,0,0,0,0,0.21029,-0.011333,0,0.0036594,-0.058071,0,0,0,0.042898,167.05,125.25,0,0.10775,-0.02535,0,-0.02535,0.00086461,0,0,0,0,2.8734,-0.52571,0,-0.14391,1.0095,0,0,0,1.0344,4882
29.593,79.848,0,0.00641,-0.0043247,0,-0.0043247,0.0021183,0,0,0,0,0.18122,-0.077733,0,-0.037626,0.1021,0,0,0,0.081222,163.6,129.25,0,0.074946,-0.044635,0,-0.044635,0.025843,0,0,0,0,2.2848,-0.92721,0,-0.42373,1.2716,0,0,0,0.95989,5083
28.276,79.484,0,-0.0014306,-0.0048152,0,-0.0048152,0.0063361,0,0,0,0,0.03788,-0.091684,0,-0.063879,0.12476,0,0,0,0.046719,158.63,134.55,0,0.016534,-0.041598,0,-0.041598,0.081669,0,0,0,0,1.3118,-1.063,0,-0.47277,2.1407,0,0,0,0.93527,5084
