"Displacement Vector:0","Displacement Vector:1","Displacement Vector:2","Elastic Strain:0","Elastic Strain:1","Elastic Strain:2","Elastic Strain:3","Elastic Strain:4","Elastic Strain:5","Elastic Strain:6","Elastic Strain:7","Elastic Strain:8","Elastic Stress:0","Elastic Stress:1","Elastic Stress:2","Elastic Stress:3","Elastic Stress:4","Elastic Stress:5","Elastic Stress:6","Elastic Stress:7","Elastic Stress:8","Points:0","Points:1","Points:2","Total Strain:0","Total Strain:1","Total Strain:2","Total Strain:3","Total Strain:4","Total Strain:5","Total Strain:6","Total Strain:7","Total Strain:8","Total Stress:0","Total Stress:1","Total Stress:2","Total Stress:3","Total Stress:4","Total Stress:5","Total Stress:6","Total Stress:7","Total Stress:8","vtkOriginalPointIds"
4.5041,19.332,0,-0.021148,0.0081244,0,0.0081244,0.029822,0,0,0,0,-0.22093,0.084036,0,0.10383,0.53094,0,0,0,0.082609,-107.16,122.24,0,-0.0030103,0.09814,0,0.09814,0.48199,0,0,0,0,4.4479,1.3058,0,2.6191,16.245,0,0,0,4.5617,1306
41.069,93.64,0,-0.0011476,-0.0069285,0,-0.0069285,0.0064937,0,0,0,0,0.047748,-0.11776,0,-0.094486,0.1312,0,0,0,0.050915,155.71,137.46,0,0.032403,-0.061632,0,-0.061632,0.095756,0,0,0,0,1.9071,-1.4193,0,-0.81844,2.7123,0,0,0,1.2206,2299
42.548,93.656,0,0.010311,-0.005974,0,-0.005974,-0.0078977,0,0,0,0,0.17982,-0.076989,0,-0.069115,-0.096264,0,0,0,0.022985,161.41,130.9,0,0.12536,-0.048376,0,-0.048376,0.0079744,0,0,0,0,3.5147,-0.96514,0,-0.50803,1.3402,0,0,0,1.2698,2592
4.4649,14.889,0,-0.013513,0.01441,0,0.01441,0.025791,0,0,0,0,-0.088925,0.16865,0,0.20344,0.51603,0,0,0,0.11693,-110.82,112.31,0,0.032602,0.15083,0,0.15083,0.42959,0,0,0,0,4.9545,2.3488,0,3.9562,14.82,0,0,0,4.4019,4475
4.5149,15.982,0,-0.0088949,0.012341,0,0.012341,0.026917,0,0,0,0,0.031334,0.13407,0,0.18469,0.58597,0,0,0,0.17164,-109.9,114.79,0,0.034938,0.14646,0,0.14646,0.43774,0,0,0,0,5.092,2.2384,0,3.8945,15.159,0,0,0,4.5017,4476
4.5358,17.086,0,-0.011741,0.011405,0,0.011405,0.027921,0,0,0,0,-0.025124,0.12055,0,0.16576,0.58169,0,0,0,0.1541,-108.99,117.27,0,0.026291,0.13841,0,0.13841,0.45365,0,0,0,0,4.9885,2.0378,0,3.7068,15.653,0,0,0,4.5709,4477
4.5332,18.204,0,-0.017382,0.011759,0,0.011759,0.027524,0,0,0,0,-0.16061,0.12874,0,0.15812,0.51733,0,0,0,0.096586,-108.08,119.75,0,0.01786,0.13349,0,0.13349,0.4508,0,0,0,0,4.7126,1.8973,0,3.5456,15.406,0,0,0,4.4635,4478
43.92,93.889,0,0.011696,-0.0050701,0,-0.0050701,-0.0084479,0,0,0,0,0.20502,-0.066865,0,-0.059534,-0.093194,0,0,0,0.030934,167.05,125.25,0,0.12961,-0.051657,0,-0.051657,0.011265,0,0,0,0,3.6667,-0.99957,0,-0.66246,1.4914,0,0,0,1.3417,4882
43.035,93.789,0,0.010311,-0.005974,0,-0.005974,-0.0078977,0,0,0,0,0.17982,-0.076989,0,-0.069115,-0.096264,0,0,0,0.022985,163.6,129.25,0,0.12536,-0.048376,0,-0.048376,0.0079744,0,0,0,0,3.5147,-0.96514,0,-0.50803,1.3402,0,0,0,1.2698,5083
41.716,93.655,0,-0.00056976,-0.0062662,0,-0.0062662,0.0069796,0,0,0,0,0.06494,-0.11117,0,-0.082599,0.14902,0,0,0,0.061046,158.63,134.55,0,0.025676,-0.055378,0,-0.055378,0.098944,0,0,0,0,1.7432,-1.3196,0,-0.72177,2.7335,0,0,0,1.1869,5084
