"Displacement Vector:0","Displacement Vector:1","Displacement Vector:2","Elastic Strain:0","Elastic Strain:1","Elastic Strain:2","Elastic Strain:3","Elastic Strain:4","Elastic Strain:5","Elastic Strain:6","Elastic Strain:7","Elastic Strain:8","Elastic Stress:0","Elastic Stress:1","Elastic Stress:2","Elastic Stress:3","Elastic Stress:4","Elastic Stress:5","Elastic Stress:6","Elastic Stress:7","Elastic Stress:8","Points:0","Points:1","Points:2","Total Strain:0","Total Strain:1","Total Strain:2","Total Strain:3","Total Strain:4","Total Strain:5","Total Strain:6","Total Strain:7","Total Strain:8","Total Stress:0","Total Stress:1","Total Stress:2","Total Stress:3","Total Stress:4","Total Stress:5","Total Stress:6","Total Stress:7","Total Stress:8","vtkOriginalPointIds"
3.654,2.0683,0,0.01004,0.0084404,0,0.0084404,-0.0033696,0,0,0,0,0.20931,0.12181,0,0.12313,0.017062,0,0,0,0.063527,-1.8326,172.2,0,0.042715,0.023872,0,0.023872,0.0039196,0,0,0,0,1.104,0.3639,0,0.37333,0.51204,0,0,0,0.44414,1263
14.685,4.1494,0,-0.0028325,-0.0014717,0,-0.0014717,0.0062,0,0,0,0,-0.0082468,-0.02166,0,-0.021177,0.12133,0,0,0,0.032072,212.33,30.639,0,-0.0023313,-0.0044209,0,-0.0044209,0.023572,0,0,0,0,0.16915,-0.067723,0,-0.064645,0.55159,0,0,0,0.2023,1754
14.638,4.2768,0,-0.002398,-0.0013335,0,-0.0013335,0.006188,0,0,0,0,0.0019588,-0.019817,0,-0.01916,0.12519,0,0,0,0.036096,211.25,36.117,0,-0.0020191,-0.0039017,0,-0.0039017,0.0236,0,0,0,0,0.17684,-0.060588,0,-0.056808,0.55525,0,0,0,0.20553,1755
14.596,4.3826,0,-0.0016513,-0.0022027,0,-0.0022027,0.0055395,0,0,0,0,0.01362,-0.032164,0,-0.031614,0.11674,0,0,0,0.03703,210.63,40.8,0,-0.00048464,-0.0065109,0,-0.0065109,0.021456,0,0,0,0,0.19371,-0.098409,0,-0.095412,0.51717,0,0,0,0.19973,1756
3.8696,2.1938,0,0.012449,0.0059294,0,0.0059294,-0.0038433,0,0,0,0,0.26253,0.085596,0,0.088895,0.028424,0,0,0,0.081961,2.2615,173.6,0,0.049243,0.017595,0,0.017595,-0.00014416,0,0,0,0,1.2284,0.26606,0,0.28536,0.47278,0,0,0,0.46761,4236
4.2369,2.3975,0,0.014302,0.0045784,0,0.0045784,-0.0051523,0,0,0,0,0.29475,0.066158,0,0.071294,0.014863,0,0,0,0.08714,9.2301,176.33,0,0.056187,0.013664,0,0.013664,-0.0031808,0,0,0,0,1.3778,0.20432,0,0.23487,0.46393,0,0,0,0.50482,4379
4.1024,2.3217,0,0.014302,0.0045784,0,0.0045784,-0.0051523,0,0,0,0,0.29475,0.066158,0,0.071294,0.014863,0,0,0,0.08714,6.7223,175.86,0,0.056187,0.013664,0,0.013664,-0.0031808,0,0,0,0,1.3778,0.20432,0,0.23487,0.46393,0,0,0,0.50482,4380
14.662,4.2132,0,-0.0028325,-0.0014717,0,-0.0014717,0.0062,0,0,0,0,-0.0082468,-0.02166,0,-0.021177,0.12133,0,0,0,0.032072,211.79,33.378,0,-0.0023313,-0.0044209,0,-0.0044209,0.023572,0,0,0,0,0.16915,-0.067723,0,-0.064645,0.55159,0,0,0,0.2023,4418
14.617,4.331,0,-0.002398,-0.0013335,0,-0.0013335,0.006188,0,0,0,0,0.0019588,-0.019817,0,-0.01916,0.12519,0,0,0,0.036096,210.94,38.458,0,-0.0020191,-0.0039017,0,-0.0039017,0.0236,0,0,0,0,0.17684,-0.060588,0,-0.056808,0.55525,0,0,0,0.20553,4419
3.516,1.9262,0,-0.010442,-0.0048949,0,-0.0048949,-0.0032858,0,0,0,0,-0.13786,-0.033009,0,-0.03595,-0.08881,0,0,0,-0.06537,-7.3707,170.25,0,0.064905,0.016377,0,0.016377,0.043616,0,0,0,0,1.0419,0.12597,0,0.15075,0.86711,0,0,0,0.51677,9667
