"Displacement Vector:0","Displacement Vector:1","Displacement Vector:2","Elastic Strain:0","Elastic Strain:1","Elastic Strain:2","Elastic Strain:3","Elastic Strain:4","Elastic Strain:5","Elastic Strain:6","Elastic Strain:7","Elastic Strain:8","Elastic Stress:0","Elastic Stress:1","Elastic Stress:2","Elastic Stress:3","Elastic Stress:4","Elastic Stress:5","Elastic Stress:6","Elastic Stress:7","Elastic Stress:8","Points:0","Points:1","Points:2","Total Strain:0","Total Strain:1","Total Strain:2","Total Strain:3","Total Strain:4","Total Strain:5","Total Strain:6","Total Strain:7","Total Strain:8","Total Stress:0","Total Stress:1","Total Stress:2","Total Stress:3","Total Stress:4","Total Stress:5","Total Stress:6","Total Stress:7","Total Stress:8","vtkOriginalPointIds"
58.333,70.789,0,0.013402,0.0053119,0,0.0053119,0.02857,0,0,0,0,0.52326,-0.24181,0,0.30348,0.79917,0,0,0,0.39973,-1.8326,172.2,0,0.76435,0.5796,0,0.5796,1.0141,0,0,0,0,34.092,1.6386,0,39.273,61.354,0,0,0,16.938,1263
191.23,421.24,0,-0.010732,-0.0019339,0,-0.0019339,0.012349,0,0,0,0,-0.059342,-0.17224,0,-0.12589,0.093914,0,0,0,0.015393,212.33,30.639,0,-0.0014086,-0.075131,0,-0.075131,0.60422,0,0,0,0,5.0001,-18.329,0,3.4677,11.226,0,0,0,5.741,1754
184.87,419.5,0,-0.0098971,-0.0056388,0,-0.0056388,0.010897,0,0,0,0,-0.015362,-0.18191,0,-0.15231,0.038128,0,0,0,0.0095237,211.25,36.117,0,0.02012,-0.13574,0,-0.13574,0.58017,0,0,0,0,6.6182,-18.564,0,2.8547,9.8879,0,0,0,5.717,1755
179.3,418.1,0,-0.004659,-0.0088166,0,-0.0088166,0.0080163,0,0,0,0,0.076795,-0.19534,0,-0.10607,-0.003573,0,0,0,0.031975,210.63,40.8,0,0.081853,-0.21634,0,-0.21634,0.51573,0,0,0,0,9.2854,-18.214,0,2.5113,7.7916,0,0,0,5.6912,1756
59.27,76.251,0,0.016231,0.0072213,0,0.0072213,0.018701,0,0,0,0,0.4315,-0.22842,0,0.39448,0.57782,0,0,0,0.33269,2.2615,173.6,0,1.0545,0.53255,0,0.53255,0.52289,0,0,0,0,36.113,0.44561,0,46,39.739,0,0,0,15.022,4236
60.079,86.08,0,0.020019,0.0036937,0,0.0036937,0.0089628,0,0,0,0,0.39264,-0.22895,0,0.42143,0.34203,0,0,0,0.27602,9.2301,176.33,0,1.2956,0.293,0,0.293,0.1715,0,0,0,0,39.293,-4.6072,0,49.268,22.01,0,0,0,13.972,4379
59.636,82.601,0,0.020019,0.0036937,0,0.0036937,0.0089628,0,0,0,0,0.39264,-0.22895,0,0.42143,0.34203,0,0,0,0.27602,6.7223,175.86,0,1.2956,0.293,0,0.293,0.1715,0,0,0,0,39.293,-4.6072,0,49.268,22.01,0,0,0,13.972,4380
188.06,420.39,0,-0.010732,-0.0019339,0,-0.0019339,0.012349,0,0,0,0,-0.059342,-0.17224,0,-0.12589,0.093914,0,0,0,0.015393,211.79,33.378,0,-0.0014086,-0.075131,0,-0.075131,0.60422,0,0,0,0,5.0001,-18.329,0,3.4677,11.226,0,0,0,5.741,4418
182.08,418.82,0,-0.0098971,-0.0056388,0,-0.0056388,0.010897,0,0,0,0,-0.015362,-0.18191,0,-0.15231,0.038128,0,0,0,0.0095237,210.94,38.458,0,0.02012,-0.13574,0,-0.13574,0.58017,0,0,0,0,6.6182,-18.564,0,2.8547,9.8879,0,0,0,5.717,4419
58.458,66.234,0,-0.064939,0.0046349,0,0.0046349,0.010132,0,0,0,0,-0.58837,0.12663,0,-0.33413,-0.14525,0,0,0,-0.26099,-7.3707,170.25,0,1.5627,0.71032,0,0.71032,0.87371,0,0,0,0,30.615,-2.1482,0,39.992,35.121,0,0,0,11.602,9667
