"Displacement Vector:0","Displacement Vector:1","Displacement Vector:2","Elastic Strain:0","Elastic Strain:1","Elastic Strain:2","Elastic Strain:3","Elastic Strain:4","Elastic Strain:5","Elastic Strain:6","Elastic Strain:7","Elastic Strain:8","Elastic Stress:0","Elastic Stress:1","Elastic Stress:2","Elastic Stress:3","Elastic Stress:4","Elastic Stress:5","Elastic Stress:6","Elastic Stress:7","Elastic Stress:8","Points:0","Points:1","Points:2","Total Strain:0","Total Strain:1","Total Strain:2","Total Strain:3","Total Strain:4","Total Strain:5","Total Strain:6","Total Strain:7","Total Strain:8","Total Stress:0","Total Stress:1","Total Stress:2","Total Stress:3","Total Stress:4","Total Stress:5","Total Stress:6","Total Stress:7","Total Stress:8","vtkOriginalPointIds"
26.333,3.5442,0,0.012153,0.016233,0,0.016233,-0.0044278,0,0,0,0,0.3021,0.23153,0,0.16837,-0.041735,0,0,0,0.073573,-1.8326,172.2,0,0.33704,0.18738,0,0.18738,0.086187,0,0,0,0,12.46,5.5856,0,1.3696,4.8802,0,0,0,4.0308,1263
18.742,-88.568,0,0.0020103,-0.0082412,0,-0.0082412,0.0053012,0,0,0,0,0.034848,-0.039731,0,-0.15129,0.18509,0,0,0,0.069633,212.33,30.639,0,0.039519,-0.075581,0,-0.075581,0.13788,0,0,0,0,1.5276,0.6765,0,-2.3177,4.3677,0,0,0,1.6895,1754
21.306,-87.782,0,-0.00029036,-0.0057109,0,-0.0057109,0.0078224,0,0,0,0,0.025463,0.0059861,0,-0.10394,0.20286,0,0,0,0.071734,211.25,36.117,0,0.019477,-0.057526,0,-0.057526,0.15251,0,0,0,0,1.3451,0.97288,0,-1.8025,4.4143,0,0,0,1.6379,1755
23.462,-87.248,0,-0.00077361,-0.0035675,0,-0.0035675,0.008339,0,0,0,0,0.033903,0.033944,0,-0.072463,0.19682,0,0,0,0.072052,210.63,40.8,0,0.013107,-0.046968,0,-0.046968,0.1449,0,0,0,0,1.2318,0.95305,0,-1.4883,4.0606,0,0,0,1.5049,1756
28.188,2.9362,0,0.017202,0.011928,0,0.011928,-0.0028442,0,0,0,0,0.419,0.19115,0,0.08801,0.058847,0,0,0,0.13674,2.2615,173.6,0,0.39329,0.15775,0,0.15775,0.054155,0,0,0,0,13.911,4.7593,0,0.73941,4.6561,0,0,0,4.2614,4236
31.575,1.8036,0,0.020897,0.008613,0,0.008613,-0.0057825,0,0,0,0,0.46828,0.13551,0,0.038932,0.037265,0,0,0,0.14394,9.2301,176.33,0,0.45868,0.12034,0,0.12034,0.022874,0,0,0,0,15.817,3.7885,0,-0.10927,4.5409,0,0,0,4.5862,4379
30.5,2.2167,0,0.020897,0.008613,0,0.008613,-0.0057825,0,0,0,0,0.46828,0.13551,0,0.038932,0.037265,0,0,0,0.14394,6.7223,175.86,0,0.45868,0.12034,0,0.12034,0.022874,0,0,0,0,15.817,3.7885,0,-0.10927,4.5409,0,0,0,4.5862,4380
20.027,-88.182,0,0.0020103,-0.0082412,0,-0.0082412,0.0053012,0,0,0,0,0.034848,-0.039731,0,-0.15129,0.18509,0,0,0,0.069633,211.79,33.378,0,0.039519,-0.075581,0,-0.075581,0.13788,0,0,0,0,1.5276,0.6765,0,-2.3177,4.3677,0,0,0,1.6895,4418
22.387,-87.508,0,-0.00029036,-0.0057109,0,-0.0057109,0.0078224,0,0,0,0,0.025463,0.0059861,0,-0.10394,0.20286,0,0,0,0.071734,210.94,38.458,0,0.019477,-0.057526,0,-0.057526,0.15251,0,0,0,0,1.3451,0.97288,0,-1.8025,4.4143,0,0,0,1.6379,4419
24.731,4.4109,0,0.0054146,-0.011887,0,-0.011887,-0.046828,0,0,0,0,-0.16781,-0.14867,0,-0.05601,-0.48914,0,0,0,-0.19721,-7.3707,170.25,0,0.44152,0.1369,0,0.1369,0.14836,0,0,0,0,8.4301,2.386,0,0.55983,4.1936,0,0,0,2.8089,9667
