"Displacement Vector:0","Displacement Vector:1","Displacement Vector:2","Elastic Strain:0","Elastic Strain:1","Elastic Strain:2","Elastic Strain:3","Elastic Strain:4","Elastic Strain:5","Elastic Strain:6","Elastic Strain:7","Elastic Strain:8","Elastic Stress:0","Elastic Stress:1","Elastic Stress:2","Elastic Stress:3","Elastic Stress:4","Elastic Stress:5","Elastic Stress:6","Elastic Stress:7","Elastic Stress:8","Points:0","Points:1","Points:2","Total Strain:0","Total Strain:1","Total Strain:2","Total Strain:3","Total Strain:4","Total Strain:5","Total Strain:6","Total Strain:7","Total Strain:8","Total Stress:0","Total Stress:1","Total Stress:2","Total Stress:3","Total Stress:4","Total Stress:5","Total Stress:6","Total Stress:7","Total Stress:8","vtkOriginalPointIds"
1.0122,0.79416,0,0.0037355,0.0040686,0,0.0040686,-0.00071797,0,0,0,0,0.082354,0.058321,0,0.058824,0.018994,0,0,0,0.028739,-1.8326,172.2,0,0.012441,0.0089846,0,0.0089846,0.0020598,0,0,0,0,0.32021,0.13059,0,0.13302,0.16966,0,0,0,0.1381,1263
7.8458,1.8787,0,-0.0011296,-0.00018285,0,-0.00018285,0.0038379,0,0,0,0,0.0096982,-0.0043426,0,-0.0024184,0.080855,0,0,0,0.025793,212.33,30.639,0,-0.0010774,-0.00075848,0,-0.00075848,0.01072,0,0,0,0,0.07659,-0.016267,0,-0.0093837,0.24732,0,0,0,0.091839,1754
7.726,1.9142,0,-0.0014262,1.4885e-05,0,1.4885e-05,0.0040433,0,0,0,0,0.0045389,-0.0015252,0,0.0003087,0.083006,0,0,0,0.024925,211.25,36.117,0,-0.0014133,-0.00024921,0,-0.00024921,0.011296,0,0,0,0,0.073885,-0.0090286,0,-0.0020716,0.25823,0,0,0,0.09412,1755
7.6266,1.9526,0,-0.001364,-0.00046935,0,-0.00046935,0.0039585,0,0,0,0,0.0053617,-0.0084731,0,-0.0066211,0.08142,0,0,0,0.024709,210.63,40.8,0,-0.0012375,-0.0013951,0,-0.0013951,0.010961,0,0,0,0,0.075273,-0.025622,0,-0.01865,0.25144,0,0,0,0.092602,1756
1.0788,0.84987,0,0.005379,0.0023605,0,0.0023605,-0.0017451,0,0,0,0,0.11192,0.033866,0,0.034603,0.0099472,0,0,0,0.034609,2.2615,173.6,0,0.015674,0.0054377,0,0.0054377,-0.00082529,0,0,0,0,0.37095,0.0788,0,0.081835,0.13042,0,0,0,0.14142,4236
1.1901,0.92263,0,0.006099,0.0015451,0,0.0015451,-0.002294,0,0,0,0,0.12399,0.022188,0,0.023075,0.0036461,0,0,0,0.036238,9.2301,176.33,0,0.017466,0.0036538,0,0.0036538,-0.0019027,0,0,0,0,0.40444,0.052697,0,0.056353,0.12137,0,0,0,0.14823,4379
1.1483,0.89668,0,0.006099,0.0015451,0,0.0015451,-0.002294,0,0,0,0,0.12399,0.022188,0,0.023075,0.0036461,0,0,0,0.036238,6.7223,175.86,0,0.017466,0.0036538,0,0.0036538,-0.0019027,0,0,0,0,0.40444,0.052697,0,0.056353,0.12137,0,0,0,0.14823,4380
7.7856,1.8962,0,-0.0011296,-0.00018285,0,-0.00018285,0.0038379,0,0,0,0,0.0096982,-0.0043426,0,-0.0024184,0.080855,0,0,0,0.025793,211.79,33.378,0,-0.0010774,-0.00075848,0,-0.00075848,0.01072,0,0,0,0,0.07659,-0.016267,0,-0.0093837,0.24732,0,0,0,0.091839,4418
7.6763,1.9335,0,-0.0014262,1.4885e-05,0,1.4885e-05,0.0040433,0,0,0,0,0.0045389,-0.0015252,0,0.0003087,0.083006,0,0,0,0.024925,210.94,38.458,0,-0.0014133,-0.00024921,0,-0.00024921,0.011296,0,0,0,0,0.073885,-0.0090286,0,-0.0020716,0.25823,0,0,0,0.09412,4419
0.98786,0.7237,0,-0.010091,-0.0014178,0,-0.0014178,0.0031377,0,0,0,0,-0.10406,-0.0099629,0,-0.010461,-0.010761,0,0,0,-0.033111,-7.3707,170.25,0,0.019796,-0.0028103,0,-0.0028103,0.035602,0,0,0,0,0.41328,-0.024208,0,-0.020094,0.53618,0,0,0,0.2638,9667
