"Displacement Vector:0","Displacement Vector:1","Displacement Vector:2","Elastic Strain:0","Elastic Strain:1","Elastic Strain:2","Elastic Strain:3","Elastic Strain:4","Elastic Strain:5","Elastic Strain:6","Elastic Strain:7","Elastic Strain:8","Elastic Stress:0","Elastic Stress:1","Elastic Stress:2","Elastic Stress:3","Elastic Stress:4","Elastic Stress:5","Elastic Stress:6","Elastic Stress:7","Elastic Stress:8","Points:0","Points:1","Points:2","Total Strain:0","Total Strain:1","Total Strain:2","Total Strain:3","Total Strain:4","Total Strain:5","Total Strain:6","Total Strain:7","Total Strain:8","Total Stress:0","Total Stress:1","Total Stress:2","Total Stress:3","Total Stress:4","Total Stress:5","Total Stress:6","Total Stress:7","Total Stress:8","vtkOriginalPointIds"
16.489,12.221,0,0.004992,0.0021161,0,0.0021161,0.0052077,0,0,0,0,0.16785,0.02318,0,0.038107,0.17367,0,0,0,0.09714,-1.8326,172.2,0,0.18554,0.10347,0,0.10347,0.1049,0,0,0,0,6.3616,1.9071,0,2.3908,4.896,0,0,0,2.7661,1263
117.48,49.078,0,0.010044,0.0084027,0,0.0084027,0.0073535,0,0,0,0,0.21705,-0.021294,0,0.25743,0.29953,0,0,0,0.16569,212.33,30.639,0,0.18494,0.22249,0,0.22249,0.34528,0,0,0,0,5.6716,-1.6299,0,9.3656,14.418,0,0,0,5.0497,1754
115.08,49.499,0,0.0054228,0.0097474,0,0.0097474,0.0038432,0,0,0,0,0.08422,0.058937,0,0.20275,0.19379,0,0,0,0.088248,211.25,36.117,0,0.12878,0.18202,0,0.18202,0.30293,0,0,0,0,4.2711,-1.3985,0,6.9587,11.7,0,0,0,4.1116,1755
113.04,49.963,0,0.0030391,0.010692,0,0.010692,0.0061406,0,0,0,0,0.05024,0.060025,0,0.19791,0.22818,0,0,0,0.087425,210.63,40.8,0,0.10078,0.17656,0,0.17656,0.35977,0,0,0,0,4.1315,-2.0213,0,6.7104,13.287,0,0,0,4.3862,1756
17.252,13.018,0,0.0050804,0.0029706,0,0.0029706,0.0035345,0,0,0,0,0.15248,0.034494,0,0.052845,0.1356,0,0,0,0.082046,2.2615,173.6,0,0.20852,0.1085,0,0.1085,0.071166,0,0,0,0,6.6937,1.9351,0,2.6177,4.1963,0,0,0,2.6637,4236
18.637,14.442,0,0.0052845,0.003389,0,0.003389,0.002351,0,0,0,0,0.14479,0.040389,0,0.06073,0.11028,0,0,0,0.072719,9.2301,176.33,0,0.23029,0.10523,0,0.10523,0.051277,0,0,0,0,7.1464,1.8336,0,2.6981,3.8666,0,0,0,2.6816,4379
18.145,13.948,0,0.0052845,0.003389,0,0.003389,0.002351,0,0,0,0,0.14479,0.040389,0,0.06073,0.11028,0,0,0,0.072719,6.7223,175.86,0,0.23029,0.10523,0,0.10523,0.051277,0,0,0,0,7.1464,1.8336,0,2.6981,3.8666,0,0,0,2.6816,4380
116.26,49.287,0,0.010044,0.0084027,0,0.0084027,0.0073535,0,0,0,0,0.21705,-0.021294,0,0.25743,0.29953,0,0,0,0.16569,211.79,33.378,0,0.18494,0.22249,0,0.22249,0.34528,0,0,0,0,5.6716,-1.6299,0,9.3656,14.418,0,0,0,5.0497,4418
114.06,49.73,0,0.0054228,0.0097474,0,0.0097474,0.0038432,0,0,0,0,0.08422,0.058937,0,0.20275,0.19379,0,0,0,0.088248,210.94,38.458,0,0.12878,0.18202,0,0.18202,0.30293,0,0,0,0,4.2711,-1.3985,0,6.9587,11.7,0,0,0,4.1116,4419
16.043,11.429,0,-0.015682,-0.0015527,0,-0.0015527,-0.0071807,0,0,0,0,-0.21533,0.0047491,0,-0.031618,-0.15928,0,0,0,-0.10887,-7.3707,170.25,0,0.29802,0.061338,0,0.061338,0.22575,0,0,0,0,5.7568,0.27334,0,1.3206,5.0153,0,0,0,2.4942,9667
