"Displacement Vector:0","Displacement Vector:1","Displacement Vector:2","Elastic Strain:0","Elastic Strain:1","Elastic Strain:2","Elastic Strain:3","Elastic Strain:4","Elastic Strain:5","Elastic Strain:6","Elastic Strain:7","Elastic Strain:8","Elastic Stress:0","Elastic Stress:1","Elastic Stress:2","Elastic Stress:3","Elastic Stress:4","Elastic Stress:5","Elastic Stress:6","Elastic Stress:7","Elastic Stress:8","Points:0","Points:1","Points:2","Total Strain:0","Total Strain:1","Total Strain:2","Total Strain:3","Total Strain:4","Total Strain:5","Total Strain:6","Total Strain:7","Total Strain:8","Total Stress:0","Total Stress:1","Total Stress:2","Total Stress:3","Total Stress:4","Total Stress:5","Total Stress:6","Total Stress:7","Total Stress:8","vtkOriginalPointIds"
-105.3,65.161,0,-0.026847,-0.0090368,0,-0.0090368,0.012763,0,0,0,0,-0.30547,-0.12882,0,-0.41827,-0.042216,0,0,0,-0.13413,-136.76,70.127,0,-0.018567,-0.060336,0,-0.060336,0.66691,0,0,0,0,5.5161,-16.533,0,2.482,17.494,0,0,0,6.1747,1638
-175.94,165.54,0,0.0029134,0.00049735,0,0.00049735,0.0060431,0,0,0,0,0.1269,0.00019748,0,0.01237,0.17282,0,0,0,0.0853,67.072,111.69,0,0.04011,-0.024945,0,-0.024945,0.20369,0,0,0,0,3.0335,-0.74306,0,-0.36297,6.188,0,0,0,2.3219,1949
-85.184,62.796,0,-0.0005393,-0.0029176,0,-0.0029176,0.011357,0,0,0,0,0.09968,-0.20892,0,0.031035,0.17373,0,0,0,0.10303,-139.23,50.786,0,0.0034091,-0.022973,0,-0.022973,0.4837,0,0,0,0,3.9089,-11.072,0,2.6832,11.844,0,0,0,4.6392,4970
-175.25,163.85,0,-0.0019388,0.0066986,0,0.0066986,0.006614,0,0,0,0,0.0082961,0.0828,0,0.097647,0.149,0,0,0,0.044526,69.913,102.38,0,0.021923,0.064058,0,0.064058,0.26443,0,0,0,0,3.0134,0.51854,0,1.6006,8.1744,0,0,0,2.7272,5169
-175.41,164.28,0,0.001705,0.0019231,0,0.0019231,0.0068401,0,0,0,-2.2204e-16,0.10411,0.017,0,0.034166,0.18172,0,0,0,0.081382,69.203,104.71,0,0.014399,0.0089868,0,0.0089868,0.22765,0,0,0,0,2.5323,-0.23638,0,0.33113,6.7032,0,0,0,2.3052,5170
-175.57,164.71,0,0.001705,0.0019231,0,0.0019231,0.0068401,0,0,0,-2.2204e-16,0.10411,0.017,0,0.034166,0.18172,0,0,0,0.081382,68.493,107.04,0,0.014399,0.0089868,0,0.0089868,0.22765,0,0,0,0,2.5323,-0.23638,0,0.33113,6.7032,0,0,0,2.3052,5171
-175.74,165.13,0,0.0028173,0.00058543,0,0.00058543,0.0061106,0,0,0,0,0.12523,0.0021114,0,0.013097,0.17357,0,0,0,0.085028,67.782,109.36,0,0.037137,-0.021315,0,-0.021315,0.20575,0,0,0,0,2.9663,-0.64938,0,-0.30555,6.2254,0,0,0,2.3132,5172
-75.484,63.591,0,0.01272,-0.0031482,0,-0.0031482,-0.014535,0,0,0,0,0.076658,0.058101,0,0.039622,-0.096902,0,0,0,-0.0086392,-137.36,39.982,0,0.25486,0.051176,0,0.051176,0.49415,0,0,0,0,4.4094,-6.2166,0,5.0039,7.8875,0,0,0,3.5667,11089
-120.98,66.275,0,0.017168,0.0048015,0,0.0048015,-0.019545,0,0,0,0,0.05517,0.12929,0,0.10476,-0.079311,0,0,0,-0.011321,-135.72,86.598,0,0.17933,0.11263,0,0.11263,0.38474,0,0,0,0,2.2749,-4.1815,0,4.3347,6.1334,0,0,0,2.6861,13166
-94.956,64.078,0,-0.027022,-0.035837,0,-0.035837,-0.010591,0,0,0,0,-0.26661,-0.084021,0,-0.80919,-0.67644,0,0,0,-0.35821,-137.09,60.468,0,0.1972,-0.3936,0,-0.3936,0.57029,0,0,0,0,17.312,-23.331,0,-0.79284,12.165,0,0,0,7.3094,26852
