"Displacement Vector:0","Displacement Vector:1","Displacement Vector:2","Elastic Strain:0","Elastic Strain:1","Elastic Strain:2","Elastic Strain:3","Elastic Strain:4","Elastic Strain:5","Elastic Strain:6","Elastic Strain:7","Elastic Strain:8","Elastic Stress:0","Elastic Stress:1","Elastic Stress:2","Elastic Stress:3","Elastic Stress:4","Elastic Stress:5","Elastic Stress:6","Elastic Stress:7","Elastic Stress:8","Points:0","Points:1","Points:2","Total Strain:0","Total Strain:1","Total Strain:2","Total Strain:3","Total Strain:4","Total Strain:5","Total Strain:6","Total Strain:7","Total Strain:8","Total Stress:0","Total Stress:1","Total Stress:2","Total Stress:3","Total Stress:4","Total Stress:5","Total Stress:6","Total Stress:7","Total Stress:8","vtkOriginalPointIds"
-0.78313,2.0317,0,-0.0027995,0.0017035,0,0.0017035,0.006922,0,0,0,0,-0.0010398,0.022496,0,0.024489,0.13948,0,0,0,0.039262,-136.76,70.127,0,-0.0024941,0.0034074,0,0.0034074,0.016434,0,0,0,0,0.096325,0.044413,0,0.051191,0.37436,0,0,0,0.13276,1638
1.0801,8.3874,0,-0.0010983,-0.0017209,0,-0.0017209,0.0032863,0,0,0,0,0.0058308,-0.026451,0,-0.02453,0.067379,0,0,0,0.020838,67.072,111.69,0,-0.00057524,-0.003281,0,-0.003281,0.0079411,0,0,0,0,0.063274,-0.052289,0,-0.0458,0.18389,0,0,0,0.070151,1949
-0.55426,1.7136,0,-0.0024115,0.00093472,0,0.00093472,0.0065142,0,0,0,0,0.0044523,0.011739,0,0.013502,0.13317,0,0,0,0.039074,-139.23,50.786,0,-0.0023224,0.0018097,0,0.0018097,0.015107,0,0,0,0,0.088072,0.022007,0,0.027531,0.34298,0,0,0,0.12175,4970
1.3548,8.3839,0,-0.0010913,-0.0019202,0,-0.0019202,0.0032928,0,0,0,0,0.0061437,-0.029314,0,-0.02738,0.067536,0,0,0,0.020966,69.913,102.38,0,-0.00045945,-0.0036529,0,-0.0036529,0.0080455,0,0,0,0,0.067208,-0.05778,0,-0.051094,0.18742,0,0,0,0.072248,5169
1.2858,8.3848,0,-0.0010782,-0.0017329,0,-0.0017329,0.0032379,0,0,0,-2.2204e-16,0.0058533,-0.026597,0,-0.024699,0.066408,0,0,0,0.020569,69.203,104.71,0,-0.0005469,-0.0032899,0,-0.0032899,0.0078021,0,0,0,0,0.062632,-0.05233,0,-0.045936,0.1808,0,0,0,0.069097,5170
1.2172,8.3856,0,-0.0010782,-0.0017329,0,-0.0017329,0.0032379,0,0,0,-2.2204e-16,0.0058533,-0.026597,0,-0.024699,0.066408,0,0,0,0.020569,68.493,107.04,0,-0.0005469,-0.0032899,0,-0.0032899,0.0078021,0,0,0,0,0.062632,-0.05233,0,-0.045936,0.1808,0,0,0,0.069097,5171
1.1486,8.3864,0,-0.0010923,-0.0017202,0,-0.0017202,0.0032456,0,0,0,0,0.005586,-0.026418,0,-0.024524,0.066461,0,0,0,0.020508,67.782,109.36,0,-0.00056936,-0.0032679,0,-0.0032679,0.0078274,0,0,0,0,0.062327,-0.052026,0,-0.045625,0.1812,0,0,0,0.069124,5172
-0.41739,1.579,0,0.0017309,-0.00046604,0,-0.00046604,-0.0030213,0,0,0,0,0.0062692,-0.0030073,0,-0.0032506,-0.027675,0,0,0,-0.0061443,-137.36,39.982,0,0.014864,0.00062791,0,0.00062791,0.01557,0,0,0,0,0.25473,0.0017527,0,0.0076059,0.26014,0,0,0,0.14492,11089
-0.99918,2.281,0,0.00014734,0.00048924,0,0.00048924,-0.0009087,0,0,0,0,-0.0026309,0.0036618,0,0.0034458,-0.010044,0,0,0,-0.0036256,-135.72,86.598,0,0.0085019,0.0038187,0,0.0038187,0.015675,0,0,0,0,0.17694,0.02443,0,0.031382,0.23118,0,0,0,0.11513,13166
-0.66439,1.8796,0,-0.001192,-0.0012835,0,-0.0012835,0.0044023,0,0,0,0,0.013744,-0.019408,0,-0.018291,0.093703,0,0,0,0.030575,-137.09,60.468,0,-0.000965,-0.0024073,0,-0.0024073,0.0099848,0,0,0,0,0.072489,-0.037303,0,-0.034153,0.23052,0,0,0,0.085903,26852
