"Displacement Vector:0","Displacement Vector:1","Displacement Vector:2","Elastic Strain:0","Elastic Strain:1","Elastic Strain:2","Elastic Strain:3","Elastic Strain:4","Elastic Strain:5","Elastic Strain:6","Elastic Strain:7","Elastic Strain:8","Elastic Stress:0","Elastic Stress:1","Elastic Stress:2","Elastic Stress:3","Elastic Stress:4","Elastic Stress:5","Elastic Stress:6","Elastic Stress:7","Elastic Stress:8","Points:0","Points:1","Points:2","Total Strain:0","Total Strain:1","Total Strain:2","Total Strain:3","Total Strain:4","Total Strain:5","Total Strain:6","Total Strain:7","Total Strain:8","Total Stress:0","Total Stress:1","Total Stress:2","Total Stress:3","Total Stress:4","Total Stress:5","Total Stress:6","Total Stress:7","Total Stress:8","vtkOriginalPointIds"
-21.055,60.125,0,-0.0072483,0.0027712,0,0.0027712,0.010193,0,0,0,0,-0.083718,-0.019508,0,0.013257,0.17891,0,0,0,0.028042,-136.76,70.127,0,0.0046783,0.08017,0,0.08017,0.5145,0,0,0,0,4.1846,-3.8602,0,3.5129,17.252,0,0,0,4.9446,1638
-57.727,279.21,0,-0.0052919,0.0014411,0,0.0014411,0.0049476,0,0,0,0,-0.065406,-0.039642,0,-0.047921,0.058685,0,0,0,-0.0032784,67.072,111.69,0,-0.0028852,-0.0039204,0,-0.0039204,0.19197,0,0,0,0,1.1611,-4.1974,0,1.3176,3.3097,0,0,0,1.8008,1949
-13.57,52.059,0,-0.00041576,0.0084358,0,0.0084358,0.0080439,0,0,0,0,0.021055,0.048359,0,0.13795,0.22064,0,0,0,0.072649,-139.23,50.786,0,0.086445,0.21373,0,0.21373,0.5364,0,0,0,0,5.6944,-1.7926,0,8.1148,20.647,0,0,0,5.9319,4970
-50.281,283.75,0,-0.0064632,0.0026841,0,0.0026841,0.0051028,0,0,0,0,-0.095946,-0.022287,0,-0.056379,0.067889,0,0,0,-0.012956,69.913,102.38,0,-0.0028194,0.0057973,0,0.0057973,0.20268,0,0,0,0,1.0961,-4.3278,0,1.5046,3.6949,0,0,0,1.9035,5169
-52.138,282.63,0,-0.0072437,0.0024062,0,0.0024062,0.0050002,0,0,0,-2.2204e-16,-0.105,-0.017268,0,-0.074082,0.058432,0,0,0,-0.021367,69.203,104.71,0,-0.0044771,0.0045481,0,0.0045481,0.19846,0,0,0,0,1.0594,-4.2298,0,1.4276,3.5704,0,0,0,1.8474,5170
-53.995,281.51,0,-0.0072437,0.0024062,0,0.0024062,0.0050002,0,0,0,-2.2204e-16,-0.105,-0.017268,0,-0.074082,0.058432,0,0,0,-0.021367,68.493,107.04,0,-0.0044771,0.0045481,0,0.0045481,0.19846,0,0,0,0,1.0594,-4.2298,0,1.4276,3.5704,0,0,0,1.8474,5171
-55.858,280.36,0,-0.0074563,0.0017967,0,0.0017967,0.0049649,0,0,0,0,-0.10158,-0.020583,0,-0.08387,0.04984,0,0,0,-0.023727,67.782,109.36,0,-0.0053671,-0.0010297,0,-0.0010297,0.19445,0,0,0,0,1.0992,-4.192,0,1.3164,3.3979,0,0,0,1.8008,5172
-9.7103,48.483,0,0.011853,0.0058182,0,0.0058182,-0.026983,0,0,0,0,0.0028038,0.10164,0,0.04244,-0.23981,0,0,0,-0.072048,-137.36,39.982,0,0.41549,0.060369,0,0.060369,0.58301,0,0,0,0,9.9201,-2.2375,0,3.4631,12.983,0,0,0,4.7547,11089
-28.351,65.614,0,0.014802,-0.0093735,0,-0.0093735,-0.015358,0,0,0,0,0.12315,-0.017607,0,-0.019496,-0.1275,0,0,0,-0.0026448,-135.72,86.598,0,0.18055,0.12448,0,0.12448,0.4793,0,0,0,0,4.142,-2.1441,0,3.6176,9.1551,0,0,0,3.1421,13166
-17.089,56.671,0,0.0039541,0.0021635,0,0.0021635,0.0084736,0,0,0,0,0.15906,-0.039407,0,0.080823,0.24034,0,0,0,0.11836,-137.09,60.468,0,0.090412,0.041002,0,0.041002,0.35145,0,0,0,0,5.46,-2.5842,0,2.6494,11.818,0,0,0,4.2082,26852
