"Displacement Vector:0","Displacement Vector:1","Displacement Vector:2","Elastic Strain:0","Elastic Strain:1","Elastic Strain:2","Elastic Strain:3","Elastic Strain:4","Elastic Strain:5","Elastic Strain:6","Elastic Strain:7","Elastic Strain:8","Elastic Stress:0","Elastic Stress:1","Elastic Stress:2","Elastic Stress:3","Elastic Stress:4","Elastic Stress:5","Elastic Stress:6","Elastic Stress:7","Elastic Stress:8","Points:0","Points:1","Points:2","Total Strain:0","Total Strain:1","Total Strain:2","Total Strain:3","Total Strain:4","Total Strain:5","Total Strain:6","Total Strain:7","Total Strain:8","Total Stress:0","Total Stress:1","Total Stress:2","Total Stress:3","Total Stress:4","Total Stress:5","Total Stress:6","Total Stress:7","Total Stress:8","vtkOriginalPointIds"
-0.96868,3.5246,0,0.0046542,0.0027008,0,0.0027008,-0.0010685,0,0,0,0,0.10101,0.038716,0,0.039329,0.019167,0,0,0,0.03415,55.956,114.62,0,0.0075365,0.0038377,0,0.0038377,-0.00062012,0,0,0,0,0.17476,0.05516,0,0.056346,0.057467,0,0,0,0.06587,974
-0.92252,3.582,0,0.0044337,0.0024707,0,0.0024707,-0.001359,0,0,0,0,0.092937,0.035425,0,0.035944,0.01012,0,0,0,0.029282,62.761,116.53,0,0.0071415,0.0034681,0,0.0034681,-0.00099161,0,0,0,0,0.16165,0.049825,0,0.050864,0.044783,0,0,0,0.05857,975
-0.28825,0.85262,0,-0.0038982,0.0012771,0,0.0012771,0.0085331,0,0,0,0,-0.01165,0.016816,0,0.018276,0.16764,0,0,0,0.044142,-41.02,-53.308,0,-0.0038452,0.0017885,0,0.0017885,0.013468,0,0,0,0,0.036373,0.023262,0,0.026299,0.28812,0,0,0,0.091644,1084
-0.95255,3.5445,0,0.0044812,0.002256,0,0.002256,-0.0014388,0,0,0,0,0.093297,0.032343,0,0.032917,0.0086639,0,0,0,0.028975,58.224,115.26,0,0.0071897,0.0031601,0,0.0031601,-0.001137,0,0,0,0,0.16139,0.045363,0,0.046506,0.041753,0,0,0,0.057645,3211
-0.93724,3.5636,0,0.0046881,0.0022079,0,0.0022079,-0.0015265,0,0,0,0,0.097427,0.031659,0,0.032255,0.0085381,0,0,0,0.030111,60.492,115.89,0,0.0075204,0.0031009,0,0.0031009,-0.0012449,0,0,0,0,0.16834,0.044523,0,0.045709,0.042318,0,0,0,0.059767,3212
-0.90424,3.605,0,0.0045339,0.0024933,0,0.0024933,-0.0014283,0,0,0,0,0.094684,0.035756,0,0.036268,0.0094232,0,0,0,0.029576,65.576,117.58,0,0.0073092,0.0035008,0,0.0035008,-0.0010626,0,0,0,0,0.16502,0.050311,0,0.051343,0.044687,0,0,0,0.059491,3213
-0.34675,0.97256,0,-0.0036928,0.0025242,0,0.0025242,0.0088189,0,0,0,0,-0.0041831,0.034644,0,0.036327,0.17678,0,0,0,0.04882,-39.466,-45.959,0,-0.0034912,0.0035545,0,0.0035545,0.014086,0,0,0,0,0.050524,0.048678,0,0.052165,0.30703,0,0,0,0.1009,3296
-0.32847,0.9312,0,-0.003923,0.0017092,0,0.0017092,0.0088439,0,0,0,0,-0.0093283,0.022986,0,0.02453,0.175,0,0,0,0.046866,-39.984,-48.409,0,-0.0038302,0.0024031,0,0.0024031,0.014032,0,0,0,0,0.042035,0.032095,0,0.035303,0.30216,0,0,0,0.09716,3297
-0.30915,0.89107,0,-0.003923,0.0017092,0,0.0017092,0.0088439,0,0,0,0,-0.0093283,0.022986,0,0.02453,0.175,0,0,0,0.046866,-40.502,-50.859,0,-0.0038302,0.0024031,0,0.0024031,0.014032,0,0,0,0,0.042035,0.032095,0,0.035303,0.30216,0,0,0,0.09716,3298
-0.26424,0.81948,0,-0.0024276,-0.0012584,0,-0.0012584,0.0075835,0,0,0,0,0.014559,-0.019425,0,-0.018013,0.1585,0,0,0,0.049104,-41.137,-55.763,0,-0.0023677,-0.0017645,0,-0.0017645,0.011866,0,0,0,0,0.056755,-0.027749,0,-0.025142,0.26287,0,0,0,0.090463,3299
