"Displacement Vector:0","Displacement Vector:1","Displacement Vector:2","Elastic Strain:0","Elastic Strain:1","Elastic Strain:2","Elastic Strain:3","Elastic Strain:4","Elastic Strain:5","Elastic Strain:6","Elastic Strain:7","Elastic Strain:8","Elastic Stress:0","Elastic Stress:1","Elastic Stress:2","Elastic Stress:3","Elastic Stress:4","Elastic Stress:5","Elastic Stress:6","Elastic Stress:7","Elastic Stress:8","Points:0","Points:1","Points:2","Total Strain:0","Total Strain:1","Total Strain:2","Total Strain:3","Total Strain:4","Total Strain:5","Total Strain:6","Total Strain:7","Total Strain:8","Total Stress:0","Total Stress:1","Total Stress:2","Total Stress:3","Total Stress:4","Total Stress:5","Total Stress:6","Total Stress:7","Total Stress:8","vtkOriginalPointIds"
-36.515,56.364,0,0.004129,0.002599,0,0.002599,-0.00077975,0,0,0,0,0.079263,0.031013,0,0.058794,0.029434,0,0,0,0.031897,55.956,114.62,0,0.10176,0.040672,0,0.040672,0.014095,0,0,0,0,2.5677,0.33307,0,1.3656,1.4727,0,0,0,1.1034,974
-36.556,58.444,0,0.0046423,0.0025149,0,0.0025149,-0.0028636,0,0,0,0,0.071836,0.040898,0,0.056119,-0.013876,0,0,0,0.01694,62.761,116.53,0,0.10851,0.035716,0,0.035716,0.0077701,0,0,0,0,2.6975,0.26794,0,1.3328,1.357,0,0,0,1.1074,975
-6.4352,13.504,0,-0.0063086,0.00059745,0,0.00059745,0.0070836,0,0,0,0,-0.08264,-0.0049725,0,-0.0016342,0.10957,0,0,0,0.0073809,-41.02,-53.308,0,-0.0061688,0.0047608,0,0.0047608,0.16387,0,0,0,0,1.3842,-0.46072,0,0.25686,4.4051,0,0,0,1.5019,1084
-36.531,57.059,0,0.004025,0.0027332,0,0.0027332,-0.0016085,0,0,0,0,0.068571,0.037922,0,0.058197,0.0099405,0,0,0,0.023015,58.224,115.26,0,0.099772,0.0367,0,0.0367,0.010503,0,0,0,0,2.4876,0.28864,0,1.2783,1.3453,0,0,0,1.0502,3211
-36.544,57.752,0,0.0043177,0.0026279,0,0.0026279,-0.0017478,0,0,0,0,0.07437,0.036592,0,0.058262,0.0090925,0,0,0,0.024475,60.492,115.89,0,0.10531,0.036158,0,0.036158,0.0094278,0,0,0,0,2.6285,0.275,0,1.3127,1.369,0,0,0,1.0928,3212
-36.628,59.306,0,0.0045371,0.00256,0,0.00256,-0.0035151,0,0,0,0,0.063243,0.04564,0,0.054445,-0.029645,0,0,0,0.009733,65.576,117.58,0,0.1081,0.034862,0,0.034862,0.0065896,0,0,0,0,2.6781,0.26221,0,1.31,1.3196,0,0,0,1.0923,3213
-7.4551,14.786,0,-0.0065752,0.0026125,0,0.0026125,0.0066819,0,0,0,0,-0.096385,0.02392,0,0.024593,0.10135,0,0,0,0.0010162,-39.466,-45.959,0,-0.0026844,0.02728,0,0.02728,0.16434,0,0,0,0,1.4274,-0.12083,0,0.68534,4.5143,0,0,0,1.5395,3296
-7.1196,14.35,0,-0.0062746,0.0014368,0,0.0014368,0.0069447,0,0,0,0,-0.084662,0.0066504,0,0.0097027,0.10812,0,0,0,0.006382,-39.984,-48.409,0,-0.0052404,0.014043,0,0.014043,0.16437,0,0,0,0,1.3913,-0.32712,0,0.43326,4.451,0,0,0,1.5155,3297
-6.779,13.923,0,-0.0062746,0.0014368,0,0.0014368,0.0069447,0,0,0,0,-0.084662,0.0066504,0,0.0097027,0.10812,0,0,0,0.006382,-40.502,-50.859,0,-0.0052404,0.014043,0,0.014043,0.16437,0,0,0,0,1.3913,-0.32712,0,0.43326,4.451,0,0,0,1.5155,3298
-6.0661,13.155,0,-0.00015364,-0.0025204,0,-0.0025204,0.0066045,0,0,0,0,0.062824,-0.052707,0,-0.029944,0.1522,0,0,0,0.061436,-41.137,-55.763,0,0.014852,-0.049388,0,-0.049388,0.15374,0,0,0,0,1.9582,-1.3448,0,-0.68722,4.2584,0,0,0,1.6057,3299
