"Displacement Vector:0","Displacement Vector:1","Displacement Vector:2","Elastic Strain:0","Elastic Strain:1","Elastic Strain:2","Elastic Strain:3","Elastic Strain:4","Elastic Strain:5","Elastic Strain:6","Elastic Strain:7","Elastic Strain:8","Elastic Stress:0","Elastic Stress:1","Elastic Stress:2","Elastic Stress:3","Elastic Stress:4","Elastic Stress:5","Elastic Stress:6","Elastic Stress:7","Elastic Stress:8","Points:0","Points:1","Points:2","Total Strain:0","Total Strain:1","Total Strain:2","Total Strain:3","Total Strain:4","Total Strain:5","Total Strain:6","Total Strain:7","Total Strain:8","Total Stress:0","Total Stress:1","Total Stress:2","Total Stress:3","Total Stress:4","Total Stress:5","Total Stress:6","Total Stress:7","Total Stress:8","vtkOriginalPointIds"
-7.1018,185.37,0,0.012388,-0.0021842,0,-0.0021842,0.00088777,0,0,0,0,0.30815,-0.055201,0,0.021018,0.13182,0,0,0,0.12644,144.37,141.64,0,0.37272,-0.16313,0,-0.16313,0.095018,0,0,0,0,13.626,-4.8988,0,-1.6106,5.8753,0,0,0,4.4547,1485
-3.9876,185.15,0,0.01569,-0.0033407,0,-0.0033407,-0.0055321,0,0,0,0,0.3296,-0.050508,0,-0.0032089,0.010922,0,0,0,0.096738,147.88,135.99,0,0.47227,-0.20795,0,-0.20795,0.10655,0,0,0,0,18.013,-6.3179,0,-2.9626,7.3933,0,0,0,5.5126,1486
-10.995,25.465,0,-0.0072567,-0.0030362,0,-0.0030362,0.007386,0,0,0,0,-0.094101,-0.058695,0,-0.0578,0.10014,0,0,0,0.0012315,-126.51,47.512,0,-0.0016604,-0.04199,0,-0.04199,0.32139,0,0,0,0,3.1322,-2.3001,0,-0.42777,9.5726,0,0,0,3.0451,2162
-10.098,183.27,0,0.0036794,0.0033604,0,0.0033604,-0.011367,0,0,0,0,-0.032479,0.10786,0,0.040169,-0.21162,0,0,0,-0.073214,133.14,146.23,0,0.12499,0.046548,0,0.046548,0.0045489,0,0,0,0,3.0645,0.41456,0,1.6803,1.4978,0,0,0,1.2337,5860
-6.0665,185.32,0,0.014367,-0.0033584,0,-0.0033584,-0.00082798,0,0,0,0,0.34262,-0.066598,0,0.0040305,0.10817,0,0,0,0.12895,145.54,139.75,0,0.41707,-0.20492,0,-0.20492,0.12033,0,0,0,0,15.96,-6.2162,0,-2.7372,7.1747,0,0,0,5.1181,5862
-5.0317,185.24,0,0.014367,-0.0033584,0,-0.0033584,-0.00082798,0,0,0,0,0.34262,-0.066598,0,0.0040305,0.10817,0,0,0,0.12895,146.71,137.87,0,0.41707,-0.20492,0,-0.20492,0.12033,0,0,0,0,15.96,-6.2162,0,-2.7372,7.1747,0,0,0,5.1181,5863
-11.654,26.258,0,-0.0023812,-0.0019633,0,-0.0019633,0.007345,0,0,0,0,0.017432,-0.051302,0,-0.025926,0.14728,0,0,0,0.047275,-126.32,50.456,0,0.0028092,-0.03861,0,-0.03861,0.31133,0,0,0,0,3.1441,-2.2337,0,-0.33284,9.2603,0,0,0,2.9918,6120
-12.343,27.054,0,-0.0027319,-0.0013777,0,-0.0013777,0.0074132,0,0,0,0,0.0087724,-0.044641,0,-0.01864,0.14626,0,0,0,0.044584,-126.13,53.401,0,0.00020783,-0.028864,0,-0.028864,0.31369,0,0,0,0,3.0607,-2.1656,0,-0.098809,9.3095,0,0,0,2.9895,6121
-13.063,27.854,0,-0.0039545,-0.00072786,0,-0.00072786,0.0074492,0,0,0,0,-0.020884,-0.035297,0,-0.014398,0.13665,0,0,0,0.033283,-125.94,56.345,0,-0.0025044,-0.020212,0,-0.020212,0.31638,0,0,0,0,2.9788,-2.1165,0,0.1084,9.3725,0,0,0,2.9893,6122
-13.817,28.666,0,-0.0053262,0.00057423,0,0.00057423,0.0073717,0,0,0,0,-0.056829,-0.016229,0,-0.0028089,0.12493,0,0,0,0.019481,-125.75,59.289,0,-0.0049492,-0.0070377,0,-0.0070377,0.31657,0,0,0,0,2.8572,-1.9948,0,0.41393,9.3635,0,0,0,2.9678,6123
